seq,ra,dec,mag,z_best,z_spec,z_phot,z_spec_quality,zphot_l68,zphot_u68,zphot_l95,zphot_u95,snr,m,m_std
914.0,53.1397476,-27.920454,22.36,0.619,0.6578,0.619,2.0,0.56,0.68,0.51,0.72,86.34,1680000000.0,189000000.0
915.0,53.1490593,-27.919349699999998,25.69,2.269,-99.0,2.269,-99.0,2.1,2.44,1.94,2.59,14.89,2020000000.0,929000000.0
916.0,53.097862199999994,-27.9193382,25.22,1.068,-99.0,1.068,-99.0,0.97,1.16,0.85,1.24,10.06,407000000.0,103000000.0
917.0,53.144043,-27.919443100000002,24.51,0.926,-99.0,0.9259999999999999,-99.0,0.76,1.09,0.56,4.49,19.75,454000000.0,48300000.0
919.0,53.11844250000001,-27.9193897,25.02,0.659,-99.0,0.659,-99.0,0.58,0.74,0.48,0.82,15.33,165000000.0,13700000.0
920.0,53.1177292,-27.9193039,25.33,1.555,-99.0,1.555,-99.0,1.44,1.67,1.32,1.82,14.5,451000000.0,129000000.0
921.0,53.111854599999994,-27.919248600000003,25.7,2.237,-99.0,2.237,-99.0,2.01,2.44,1.81,2.58,10.24,1010000000.0,393000000.0
922.0,53.0911713,-27.9192333,25.56,1.644,-99.0,1.6440000000000001,-99.0,1.39,1.9,1.02,2.08,4.84,403000000.0,160000000.0
923.0,53.18211360000001,-27.919282899999995,24.37,1.004,-99.0,1.004,-99.0,0.94,1.07,0.86,1.13,19.73,1300000000.0,183000000.0
924.0,53.0837135,-27.919185600000002,25.35,2.646,-99.0,2.6460000000000004,-99.0,2.56,2.73,2.45,2.84,8.54,1760000000.0,511000000.0
925.0,53.092144,-27.919151300000003,24.49,7.652,-99.0,7.652,-99.0,2.66,8.15,2.06,8.65,9.61,292000000000.0,127000000000.0
926.0,53.204494499999996,-27.919084499999997,26.29,2.431,-99.0,2.431,-99.0,0.51,2.55,0.08,2.71,4.31,165000000.0,37500000.0
927.0,53.20707320000001,-27.9190941,25.27,2.494,-99.0,2.494,-99.0,2.34,2.6,2.04,2.68,13.41,2940000000.0,878000000.0
928.0,53.15527339999999,-27.9191322,24.93,1.004,-99.0,1.004,-99.0,0.92,1.08,0.84,1.16,12.76,405000000.0,49400000.0
929.0,53.1800919,-27.919052100000002,25.45,1.808,-99.0,1.808,-99.0,1.7,1.92,1.61,2.05,14.12,974000000.0,160000000.0
930.0,53.14566800000001,-27.9191265,25.22,0.765,-99.0,0.765,-99.0,0.71,0.82,0.65,0.92,14.66,220000000.0,30300000.0
931.0,53.1160927,-27.919387800000003,23.32,1.055,1.8445,1.055,3.0,1.0,1.11,0.95,1.16,53.05,2890000000.0,565000000.0
932.0,53.1689301,-27.9189873,25.56,0.922,-99.0,0.922,-99.0,0.85,0.99,0.76,1.05,9.9,167000000.0,17900000.0
933.0,53.09220500000001,-27.918960600000002,25.67,2.703,-99.0,2.7030000000000003,-99.0,2.37,2.86,0.45,7.1,9.15,3310000000.0,3140000000.0
934.0,53.2034454,-27.9189396,25.17,1.654,-99.0,1.6540000000000001,-99.0,1.51,1.8,1.4,1.97,10.12,422000000.0,133000000.0
935.0,53.1500702,-27.9200287,22.41,1.277,-99.0,1.2770000000000001,-99.0,1.22,1.33,1.16,1.42,129.67,24400000000.0,9900000000.0
936.0,53.1560326,-27.918964399999997,25.43,3.357,-99.0,3.3569999999999998,-99.0,3.2,3.52,3.08,3.76,10.52,2950000000.0,620000000.0
937.0,53.1171074,-27.9197979,22.27,0.1274,0.1274,0.129,1.0,0.1,0.16,0.06,0.2,85.97,71300000.0,17100000.0
939.0,53.1560478,-27.9191761,24.04,2.996,-99.0,2.9960000000000004,-99.0,2.94,3.05,2.85,3.1,23.46,2380000000.0,677000000.0
940.0,53.2004929,-27.919141800000002,24.1,0.692,-99.0,0.6920000000000001,-99.0,0.63,0.75,0.57,0.81,21.1,340000000.0,53900000.0
941.0,53.112964600000005,-27.9189854,24.21,0.523,-99.0,0.523,-99.0,0.46,0.58,0.39,0.64,14.2,185000000.0,24400000.0
942.0,53.1713448,-27.918687800000004,25.07,2.279,-99.0,2.279,-99.0,2.07,2.49,1.94,2.79,13.65,2560000000.0,637000000.0
943.0,53.178825399999994,-27.918628700000003,25.34,1.733,-99.0,1.733,-99.0,1.51,1.94,1.33,2.11,7.5,843000000.0,216000000.0
944.0,53.2145576,-27.918706899999997,24.51,0.978,-99.0,0.978,-99.0,0.9,1.05,0.8,1.11,17.12,384000000.0,74900000.0
945.0,53.1134262,-27.918582899999997,25.11,0.926,-99.0,0.9259999999999999,-99.0,0.73,1.12,0.59,1.26,9.78,209000000.0,71100000.0
946.0,53.1456375,-27.919773100000004,21.07,0.841,0.841,0.934,1.0,0.89,0.99,0.84,1.04,253.27,13700000000.0,5360000000.0
948.0,53.2015228,-27.918529499999998,25.57,4.135,-99.0,4.135,-99.0,4.04,4.23,3.94,4.31,10.32,3320000000.0,1430000000.0
949.0,53.1992836,-27.918762199999996,23.73,3.344,-99.0,3.344,-99.0,3.28,3.4,3.21,3.48,22.2,12600000000.0,2140000000.0
950.0,53.0926437,-27.9187794,24.29,1.719,-99.0,1.719,-99.0,1.6,1.83,1.49,1.95,24.59,1960000000.0,428000000.0
951.0,53.1143036,-27.922338500000002,18.62,0.127,0.127,0.146,1.0,0.09,0.2,0.04,0.25,770.62,2760000000.0,1050000000.0
952.0,53.1271172,-27.9189587,23.63,1.032,1.032,1.0190000000000001,1.0,0.96,1.08,0.88,1.14,34.46,1180000000.0,101000000.0
953.0,53.2159996,-27.9188023,23.53,1.198,-99.0,1.198,-99.0,1.13,1.26,1.08,1.32,28.94,1580000000.0,273000000.0
954.0,53.16167829999999,-27.9187374,23.34,2.492,-99.0,2.492,-99.0,2.42,2.56,2.34,2.65,61.45,27900000000.0,9610000000.0
955.0,53.11988829999999,-27.9185925,24.53,0.681,-99.0,0.6809999999999999,-99.0,0.62,0.74,0.57,0.8,23.44,196000000.0,45800000.0
956.0,53.1359024,-27.9184227,25.28,2.175,-99.0,2.175,-99.0,2.02,2.33,1.89,2.49,13.5,1270000000.0,268000000.0
957.0,53.09698100000001,-27.918636300000003,23.76,1.739,-99.0,1.739,-99.0,1.63,1.84,1.52,1.93,38.5,4750000000.0,913000000.0
959.0,53.1057816,-27.9183674,24.89,2.797,-99.0,2.7969999999999997,-99.0,0.18,2.85,0.06,3.0,8.83,1940000000.0,726000000.0
961.0,53.1177826,-27.918823200000002,23.51,2.487,-99.0,2.487,-99.0,2.39,2.56,2.23,2.62,43.32,13500000000.0,2420000000.0
962.0,53.1740723,-27.918453200000002,24.71,1.117,-99.0,1.117,-99.0,1.05,1.18,0.98,1.25,18.46,520000000.0,71000000.0
963.0,53.1576424,-27.9182911,25.06,1.666,-99.0,1.666,-99.0,1.57,1.77,1.46,1.88,15.62,969000000.0,168000000.0
965.0,53.1847878,-27.9184647,23.62,1.305,1.305,1.2830000000000001,1.0,1.23,1.34,1.16,1.4,26.22,1600000000.0,337000000.0
966.0,53.1084557,-27.918230100000002,24.86,0.943,-99.0,0.943,-99.0,0.81,1.07,0.69,1.17,13.71,220000000.0,62100000.0
967.0,53.141540500000005,-27.9180527,25.35,0.687,-99.0,0.687,-99.0,0.56,0.82,0.45,1.0,12.47,107000000.0,25300000.0
968.0,53.1519127,-27.9181995,24.85,1.278,-99.0,1.278,-99.0,1.22,1.34,1.14,1.39,24.21,412000000.0,71400000.0
